timestamp,cpu_percent,load_1,load_5,load_15,running_processes,mem_used_mb,mem_total_mb,mem_percent,disk_used,disk_total,disk_percent,uptime_seconds,top_cpu_1,top_cpu_2,top_cpu_3,top_mem_1,top_mem_2,top_mem_3
2026-01-31 16:13:45,52.4,0.07,0.08,0.06,2,1596,3916,40.76,13G,25G,56,14081,ps                 8588  700,tracker-extract    8570 82.1,python3            8563 15.3,gnome-shell        2117 12.1,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:13:56,0.0,0.06,0.07,0.06,2,1616,3916,41.27,13G,25G,56,14092,gnome-shell        2117  2.2,python3            8563  0.9,gnome-terminal-    7434  0.5,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:06,0.0,0.05,0.07,0.06,1,1616,3916,41.27,13G,25G,56,14102,gnome-shell        2117  2.2,python3            8563  0.5,gnome-terminal-    7434  0.5,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:17,0.0,0.28,0.12,0.07,1,1616,3916,41.27,13G,25G,56,14112,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:27,0.0,0.24,0.11,0.07,1,1616,3916,41.27,13G,25G,56,14122,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:37,0.0,0.20,0.11,0.07,1,1616,3916,41.27,13G,25G,56,14133,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:47,0.0,0.33,0.14,0.08,1,1616,3916,41.27,13G,25G,56,14143,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:14:58,10.0,0.42,0.17,0.09,1,1617,3916,41.29,13G,25G,56,14153,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:15:08,0.0,0.35,0.16,0.09,1,1622,3916,41.42,13G,25G,56,14164,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-text-edit    6800  0.4,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
2026-01-31 16:15:18,20.0,0.30,0.15,0.09,1,1622,3916,41.42,13G,25G,56,14174,ps                 8823  100,gnome-shell        2117  2.2,gnome-terminal-    7434  0.5,gnome-shell        2117 12.2,gnome-text-edit    6800  6.9,nautilus           6698  6.4
